depth	num_sites	timing_seconds
30	100	13
30	1000	17
30	10000	49
30	100000	324
30	1000000	3130
60	100	13
60	1000	20
60	10000	88
60	100000	611
60	1000000	5991
90	100	13
90	1000	23
90	10000	121
90	100000	895
90	1000000	8865
120	100	13
120	1000	26
120	10000	152
120	100000	1180
120	1000000	11644
150	100	14
150	1000	29
150	10000	182
150	100000	1459
150	1000000	14519
180	100	14
180	1000	32
180	10000	210
180	100000	1738
180	1000000	17268
210	100	15
210	1000	34
210	10000	239
210	100000	2025
210	1000000	19964
240	100	15
240	1000	37
240	10000	267
240	100000	2310
240	1000000	22771
270	100	15
270	1000	40
270	10000	294
270	100000	2589
270	1000000	25617
300	100	15
300	1000	42
300	10000	321
300	100000	2884
300	1000000	28267
